City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Trinidad,BO,2021-09-26 15:28:05,-14.8333,-64.9,87.78,66,6,13.8
248,Nyurba,RU,2021-09-26 15:28:06,63.2842,118.3319,36.64,70,100,11.39
249,Broome,US,2021-09-26 15:28:06,42.2506,-75.833,65.05,62,20,1.99
250,Monrovia,LR,2021-09-26 15:28:06,6.3005,-10.7969,82.17,89,100,9.93
251,Fort Nelson,CA,2021-09-26 15:28:07,58.8053,-122.7002,35.19,87,75,0.0
252,Brae,GB,2021-09-26 15:28:07,60.3964,-1.353,55.31,95,93,23.38
253,Bonthe,SL,2021-09-26 15:28:08,7.5264,-12.505,80.44,79,96,10.49
254,Dakar,SN,2021-09-26 15:25:28,14.6937,-17.4441,88.68,94,40,0.0
255,Camacha,PT,2021-09-26 15:28:08,33.0833,-16.3333,74.16,60,20,9.22
256,Buraydah,SA,2021-09-26 15:28:09,26.326,43.975,93.65,18,0,9.6
257,Perth,AU,2021-09-26 15:27:50,-31.9333,115.8333,59.18,91,40,8.05
258,Khandyga,RU,2021-09-26 15:28:09,62.6667,135.6,33.22,93,7,3.44
259,Severo-Kurilsk,RU,2021-09-26 15:28:10,50.6789,156.125,47.53,92,71,11.05
260,Dauphin,CA,2021-09-26 15:28:10,51.1494,-100.0502,53.74,76,1,2.3
261,Hirara,JP,2021-09-26 15:28:11,24.8,125.2833,83.71,78,1,15.05
262,Coquimbo,CL,2021-09-26 15:28:11,-29.9533,-71.3436,62.33,63,0,13.8
263,Vallenar,CL,2021-09-26 15:28:12,-28.5708,-70.7581,85.17,14,0,5.06
264,Lavrentiya,RU,2021-09-26 15:28:12,65.5833,-171.0,31.19,78,100,7.23
265,Sioux Lookout,CA,2021-09-26 15:28:12,50.1001,-91.917,55.78,76,75,0.0
266,Tungor,RU,2021-09-26 15:28:13,53.3808,142.9564,43.02,82,2,8.55
267,Bengkulu,ID,2021-09-26 15:28:13,-3.8004,102.2655,75.61,89,100,2.77
268,Ciudad Bolivar,VE,2021-09-26 15:28:14,8.1222,-63.5497,89.71,55,9,2.48
269,Bolobo,CD,2021-09-26 15:28:14,-2.1667,16.2333,85.78,54,99,4.52
270,Semey,KZ,2021-09-26 15:28:15,50.4111,80.2275,41.22,45,14,11.18
271,Elko,US,2021-09-26 15:28:15,41.0002,-115.5012,62.89,20,22,5.48
272,Sukabumi,ID,2021-09-26 15:28:16,-6.9181,106.9267,78.6,95,94,0.85
273,Umm Lajj,SA,2021-09-26 15:28:16,25.0213,37.2685,85.71,62,5,14.9
274,Acajutla,SV,2021-09-26 15:28:17,13.5928,-89.8275,88.14,65,84,1.32
275,Bandarbeyla,SO,2021-09-26 15:28:17,9.4942,50.8122,78.17,82,55,25.26
276,Komsomolskiy,UZ,2021-09-26 15:28:17,40.4272,71.7189,72.32,21,0,0.0
277,Farafangana,MG,2021-09-26 15:28:18,-22.8167,47.8333,71.31,75,21,9.73
278,Gobabis,NA,2021-09-26 15:28:18,-22.45,18.9667,90.27,9,3,10.51
279,Awbari,LY,2021-09-26 15:28:19,26.5921,12.7805,89.49,16,0,13.33
280,Cadillac,US,2021-09-26 15:28:19,44.2519,-85.4012,62.17,67,90,5.75
281,Sikeston,US,2021-09-26 15:28:20,36.8767,-89.5879,71.78,56,1,4.61
282,San Carlos,VE,2021-09-26 15:28:20,9.6612,-68.5827,85.1,65,55,5.01
283,High Level,CA,2021-09-26 15:28:20,58.5169,-117.136,33.91,93,75,4.61
284,Pingdu,CN,2021-09-26 15:28:21,36.7844,119.9464,71.98,98,100,6.93
285,Mandan,US,2021-09-26 15:28:21,46.8267,-100.8896,74.03,50,1,10.36
286,Vostok,RU,2021-09-26 15:28:22,46.4856,135.8833,46.36,90,0,4.38
287,Quimper,FR,2021-09-26 15:28:22,48.0,-4.1,68.83,77,75,11.5
288,Marfino,RU,2021-09-26 15:28:22,55.7028,37.3822,51.75,81,75,15.66
289,Pankrushikha,RU,2021-09-26 15:28:23,53.8319,80.3406,35.37,79,87,6.91
290,Yamada,JP,2021-09-26 15:28:23,39.4667,141.95,60.42,80,98,5.55
291,Sur,OM,2021-09-26 15:28:24,22.5667,59.5289,86.63,61,0,3.87
292,Pouebo,NC,2021-09-26 15:28:24,-20.4,164.5667,69.1,76,86,8.79
293,Cockburn Town,TC,2021-09-26 15:28:25,21.4612,-71.1419,82.67,72,0,5.23
294,Leh,IN,2021-09-26 15:28:25,34.1667,77.5833,59.76,24,0,6.69
